id,name,housenumber,street,city,state,postcode,phone,website,opening_hours,latitude,longitude,curbside_pickup,delivery,dine_in,editorial_summary,price_level,reservable,reviews,serves_beer,serves_breakfast,serves_brunch,serves_dinner,serves_lunch,serves_vegetarian_food,serves_wine,takesout,user_ratings_total,rating,cuisine,updated_at
32,Kiku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:49:14.867473
31,Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:49:14.882364
33,Win Xin Kitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-24 23:49:19.362593
57,Casa Asia,149-45,14th Avenue,,,,,,,40.788788,-73.814480,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
58,Sushi Village,32-50,Francis Lewis Boulevard,,,,+1-718-886-4733,,,40.767624,-73.791130,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
59,Benjys,72-72,Main Street,,,,+1-718-268-0791,,,40.724802,-73.821115,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
61,Unnamed Sushi Restaurant,,,,,,,,,40.726122,-73.852451,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
64,Unnamed Sushi Restaurant,,,,,,,,,40.730458,-73.864125,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
74,Otoro,,,,,,,,,40.726795,-73.788049,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
75,Fansway Teriyaki & Sushi,43-04,Junction Boulevard,,,,+1 718-803-2688,https://www.fanswayteriyaki.com/,11:00-21:45,40.745376,-73.868167,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
79,Unnamed Sushi Restaurant,226A,Merrick Road,,,,,,,40.657878,-73.667179,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
89,Sushi Republic,,Hillside Avenue,,,,,,,40.753277,-73.659214,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
35,Taiki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:07:41.672832
37,Idashi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:07:46.072419
36,Maple Domo Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:07:46.607318
39,Daizen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:07:50.847128
54,Okawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:21:35.131866
55,Happy Kitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:21:35.632027
56,Izakaya Fuku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:21:40.13198
60,Nolbu Nolbu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:21:40.151801
62,Yellowstone Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:21:44.372463
65,Mira Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:27:06.992269
63,Watawa Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:27:07.49171
66,Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:27:11.89152
67,Qiu Sushi and Tea Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:27:11.921854
68,Fortune Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:27:16.256833
70,Nikko Hibachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:34:09.63157
69,Umi Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:34:10.191579
72,New Tokyo Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:34:14.691528
71,Gan Da Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:34:14.726549
73,New Tomo Japanese Cuisine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:34:19.112081
76,Mikado Japanese Restaurant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:38:16.466509
77,Kenji Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:38:16.97212
78,Oma's Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:38:21.451438
80,Sushi House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:38:21.491529
81,Sushi Palace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:38:25.83701
82,Kumo Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:41:14.351678
90,Samurai Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:41:14.891412
92,New Great Wall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:41:19.271363
91,Tokyo Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:41:19.311567
95,Wok Tov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:41:23.571621
96,Sushi Metsuyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:46:48.071408
101,Big  Bang Sushi & Poke,,,,,,,,,40.705338,-73.651856,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
112,Shogi Japanese Restaurant,,,,,,,,,40.749446,-73.573964,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
114,Kura Revolving Sushi Bar,,Old Country Road,,,,+1 516 475 0007,https://kurasushi.com/locations/carle-place-ny,,40.743004,-73.620136,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
129,Ichiban Sushi,,,,,,,,,40.596439,-73.754386,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
137,Benkei,,,,,,,,,40.899836,-73.351526,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
138,Koi Sushi Lounge,,,,,,,,,40.734961,-73.084130,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
140,Yama Sushi,,,,,,,,,44.697072,-73.452905,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
141,Bonchon Chicken,,,,,,,,,39.683004,-75.734021,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
144,Mizu Sushi Bar,,,,,,,,,39.955255,-75.202220,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
146,Sushi Planet,624,South 3rd Street,,,,,,"Mo-Tu,Su 16:00-21:30; We-Th 12:00-21:30; Fr-Sa 12:00-22:30",39.940722,-75.147855,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
147,Fat Salmon,719,Walnut Street,,,,,,Mo off; Tu-Th 16:00-20:30; Fr-Sa 16:00-21:30; Su 16:00-20:00,39.948090,-75.153407,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
150,Zushi,,,,,,,,"closed ""Temporarily closed""",39.955491,-75.169667,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
156,Cure Bar and Bistro,,,,,,+1-202-672-3138,https://www.hyatt.com/en-US/hotel/washington-dc/grand-hyatt-washington/wasgh/dining,Mo-Su 11:30-23:00,38.899620,-77.026270,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
158,Wok and Roll,604,H Street Northwest,,,,+1 202-450-4702,,,38.899632,-77.020399,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
159,Sushi Taro,1503,17th Street Northwest,,,,+1-202-462-8999,https://www.sushitaro.com/,,38.909944,-77.038242,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
160,Ogawa,2100,Connecticut Avenue Northwest,,,,,,,38.917947,-77.047724,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
161,Umai Nori,,,,,,,https://umainori.com/,"Mo-Fr 11:30-15:00,17:00-22:00; Sa-Su 12:00-22:00",38.905160,-77.044669,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
164,Izumi,,,,,,+1-202-355-7700,https://www.izumi1832.com/,Mo 11:00-22:00; Tu off; We-11:00-22:00; Fr-Sa 11:00-22:30; Su 12:00-22:00,38.921784,-77.043138,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
166,Sushi Capitol,,,,,,+1-202-544-9888,http://www.sushicapitol.com/,,38.886447,-77.001230,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
167,Kusshi Sushi,,,,,,+1 571-777-1998,https://www.kusshisushi.com/,Mo-Th 11:00-22:30; Fr-Sa 11:00-23:00; Su 11:00-22:30,38.863539,-77.062380,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
168,Sushi Garden,,,,,,+1 703-413-5477,https://www.sushigardencrystalcity.com/,Mo-Sa 11:00-20:00; Su off,38.858368,-77.050891,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
170,Sushi Snob,,,,,,,,,38.905781,-77.039661,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
171,Nama,475,K Street Northwest,,,,,https://namadc.com,"Mo-Th,Su 16:00-21:00; Fr-Sa 16:00-22:00",38.902765,-77.018308,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
172,Absolute Noodle & Sushi Bar,772,5th Street Northwest,,,,+1 202-789-5422,https://absolutenoodlesushi.com/,"Mo-Th 11:30-15:00,16:30-21:30; Fr 11:30-15:00,16:30-22:00; Sa 12:30-22:00; Su 12:30-21:30",38.899107,-77.019094,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
173,Kyojin Sushi,3315,Cady's Alley Northwest,,,,+1-202-629-2131,https://www.kyojindc.com/,Mo off; Tu-We 17:00-22:00; Th 17:00-01:00; Fr-Sa 17:00-02:00; Su 17:00-23:00,38.904798,-77.066609,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
174,Torai,,,,,,,http://toraisushi.com/,,38.879555,-76.995182,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
175,Sushi by Bou,550,School Street Southwest,,,,,https://sushibybou.com/locations/sushi-by-bou-lenfant-plaza/,"Mo-Th,Su 17:00-23:00; Fr-Sa 17:00-24:00",38.883758,-77.019612,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
176,Sima Sushi,,,,,,,,"Su-Th 11:00-15:00,17:00-22:00; Fr,Sa 12:00-15:00,17:00-23:00",38.903370,-77.038255,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
178,18-8 Sushi,,,,,,,,"Mo-Th 11:00-15:00,16:30-22:00; Fr 11:00-15:00,16:30-23:00; Sa 12:00-23:00; Su 12:00-22:00",39.335361,-76.630127,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
179,Minato,,,,,,,https://minatosushibar.com/,,39.301599,-76.615764,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
180,A-1 Sushi,,,,,,,,,39.364267,-76.610615,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
182,Poke 2U,520,Park Avenue,,,,,,,39.295810,-76.618592,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
97,Sushi Tokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:46:48.606341
100,Kaiseki Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:46:53.111284
111,DJ's International Buffet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:46:53.12631
113,Yuxu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:46:57.471483
143,Tataki Ramen & Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:52:29.671397
142,Oishii Sushi & Ramen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:52:30.231365
148,Shiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:52:34.851319
145,Tsuki Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:52:34.851323
149,Bonchon Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:52:39.191249
152,Oishii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:58:50.566288
151,Yanaga Kappo-Izakaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:58:51.131185
154,Poseidon Asian Cuisine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:58:55.711322
153,Kichi Omakase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:58:55.791236
155,Fysh Sushi & Poke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 14:59:00.272442
157,Kusshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:05:12.031051
162,Bonchon Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:05:12.511049
165,Khin’s Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:05:16.931182
163,Zepplin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:05:17.430962
169,Nobu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:05:21.850989
177,Yama Sushi Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:05:55.270948
181,New Asian Taste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:05:56.010858
187,Unnamed Sushi Restaurant,,,,,,,,,39.373596,-76.650980,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
189,Kona Grill,,,,,,,https://www.konagrill.com/restaurants/baltimore-md.aspx,,39.286225,-76.614339,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
191,Asahi Sushi,514,South Broadway,,,,,,,39.285030,-76.593759,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
192,Bonchon Chicken,,,,,,,,,39.277532,-76.567341,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
197,Teru Sushi,,,,,,,,,39.291188,-76.621861,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
198,Brothers Sushi,,,,,,,,,39.277388,-76.614273,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
206,Sushi Sakura,,,,,,,,,39.378470,-76.724140,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
242,Yama Sushi,,,,,,,,,39.192452,-76.615743,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
255,Kyoto Sushi,3676,King Street,,,,,,,38.828857,-77.092425,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
256,Sushi Jin,,,,,,,,,38.841093,-77.107413,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
258,Sushi King,,,,,,,,,37.044813,-76.392484,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
260,Tokyo Sushi,,,,,,,,,37.657320,-77.525989,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
261,Jing Sushi,,,,,,,https://www.jingsushi.com/,,37.590344,-77.532805,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
263,Sumo Sushi,,,,,,,,Mo-Fr 11:30-20:00; Sa 12:00-20:00; Su 14:00-19:00,37.668303,-77.458988,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1140,bento,,,,,,,,Mo-Su 11:00-21:00,37.548841,-77.450224,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1142,Carytown Sushi,,,,,,,,"Tu-Fr 11:30-14:30,17:00-22:00; Sa 13:00-23:00; Su 17:00-22:00",37.552240,-77.478411,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1143,Momotaro,,,,,,,,"Mo-Su 12:00-14:30,16:00-21:30; Tu off; Fr,Sa 12:00-14:30,16:00-22:30",37.551690,-77.476934,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1145,Arilang Sushi,2239,Old Brick Road,,,,,,,37.647345,-77.601431,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1147,Red Salt Chophouse & Sushi,,,,,,,,,37.659196,-77.636893,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1148,Sushi O,1228,Alverser Plaza,Midlothian,VA,23113,,https://www.sushiomidlothian.com/,,37.510202,-77.615634,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1149,Hibachi Sushi,,,,,,,,,37.443676,-77.578392,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1150,Wild Ginger,119,West Market Street,Corning,NY,14830,+1 607-936-8888,,"Mo-Th 11:30-22:00; Fr,Sa 11:30-10:30; Su 12:00-21:30",42.144385,-77.059353,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1155,Japan Sushi House,1162,Big Bethel Road,Hampton,VA,23666,,https://www.japansushihousehampton.com/,,37.058235,-76.425283,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1156,Miso Sushi Bar,,Carretera Militar,Hatillo,PR,00659,,,,18.483183,-66.821633,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1158,Origami Sushi,,,,,,,,,18.154677,-67.140865,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1159,Tako-G,"Aguadilla Foodtruck Park, km 30.3",PR-110,Aguadilla,PR,00603,(787) 407-0299,,"Mo-Tu closed, We-Sa 03:00-09:00, Su 03:00-08:00",18.505149,-67.100324,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1160,Okui Sushi Bar,,,,,,,,,18.011905,-66.613374,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1162,Piñango Asian Bistro,16,Calle Román Baldorioty de Castro,Caguas,PR,00725,,,,18.233578,-66.035683,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1165,Sushi Kytto Bar,,,,,,,,,18.230790,-65.906162,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1166,River China & Sushi,,,Gurabo,PR,00778,787-737-4733,,Mo-Su 10:30-22:30,18.253477,-65.975461,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1167,Kintaro Restaurant,63,Calle Luisa,San Juan,PR,00907,+1-787-977-0888,,"Mo-Th 15:00-2:00, Fr-Su 15:00-3:00",18.454586,-66.073541,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1168,Shibo,2012,Calle Loíza (PR-37),Santurce,PR,00911,+1-939-399-3036,,Tu-Sa 17:00-23:00,18.450614,-66.053863,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1169,Tatami,,,,,,,,,18.413164,-66.095057,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1170,Nacionsushi,100,Avenida González Giusti / Avenida Ortegón,Guaynabo,PR,00968,,,,18.409120,-66.105961,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1171,Wilo Eatery and Bar,B5,Calle Tabonuco,Guaynabo,PR,00968,+17876650199,https://www.wilobenet.com/,Monday-Saturday 10am-9pm,18.406885,-66.106313,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1172,La Esquina Gastrobar,494,Calle Sirio,San Juan,PR,00920,+17872738700,https://cdn.flowcode.com/prodassets/LA_ESQUINA_MENU_32_STORY_DESIGN.pdf?ts=1653668566999030455,"Mo,Su 12:00-20:00; Tu-Sa 12:00-21:00",18.398587,-66.107981,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1173,Tokyo Sushi Bar,,Carretera Ceiba - Humacao,Humacao,PR,,,,,18.144798,-65.809288,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1174,Umami Sushi Bar,,,,,,,,15:00-22:00,18.330661,-64.794176,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
1176,Eight Noodle Bar,999,Avenida Ashford,San Juan,PR,00907,+1-787-723-8881,,Mo-Fr 12:00-00:00; Sa-Su 16:00-00:00,18.460792,-66.080992,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
188,Bonchon Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:06:05.31098
186,Chiyo Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:06:06.360851
190,Chiu's Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:06:13.610948
193,Katana Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:06:50.490924
194,The Sushi Place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:06:54.17108
195,RA Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:07:05.030846
200,Sushi & Thai Cuisine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:07:07.910931
228,Dundalk Seafood Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:07:18.625932
245,Umi Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:09:19.345796
230,Grace Cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:09:19.610973
254,Bonchon Chicken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:09:27.170869
253,Samurai Hibachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:09:32.450936
257,Akeno Sushi Bar & Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:09:43.320844
262,Poke Sushi Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:17:08.430603
259,Toro Sushi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:17:10.070649
1141,Poke Sushi Bowl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:17:17.850535
268,Fighting Fish Scott’s Addition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:17:22.790577
1146,Umi Sushi Bistro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-02-26 15:17:37.330946
1177,Komakai Sushi Bar,1077,Avenida Ashford,San Juan,PR,00907,,https://www.laconcharesort.com/restaurants/#komakai-sushi-bar,Su-We 18:00-23:30; Th-Sa 11:00-2:00,18.457414,-66.073836,,,,,,,,,,,,,,,,,,,2025-02-24 21:24:20.868424
